command_id,title,help,element_type,access,MEP,Cluster,Element,InvokeResponse,Invoke,WriteResponse,Write,ReadResponse,Read,arg,name,dtype,description,longdescription,unit,range_min,range_max,less_than,greater_than,meanings,friendly_meanings
}",Mode,Grid Charge,enum,,,,,,,,"Disable,Enable","Do not charge the battery from grid power,Allowed"
ACCharge.ACChargePower,Grid Charge Power Limit,Sets the maximum power the inverter will draw from the grid for charging. This cap applies when Grid Charge is enabled (and within any configured time windows).,attribute,RW,HybridInverter,ACCharge,ACChargePower,,,,,,,Power,Max Grid Charge Power (W),Number,,,,0.0,100.0,,,,
ACCharge.ACChgStartSOC,Grid Charge SOC Range,Defines when grid charging starts and stops based on battery state of charge (SOC). Charging starts when SOC falls below Start SOC and stops when it reaches Stop SOC.,attribute,RW,HybridInverter,ACCharge,ACChgStartSOC,,,,,,,SOC,Start SOC (%),Number,,,,0.0,100.0,StopSOC,,,
,,,,,,,,,,,,,,StopSOC,Stop SOC (%),Number,,,,0.0,100.0,,SOC,,
ACCharge.ACChargeType,Grid Charge Control Type,Select whether grid charging follows a time schedule or SOC/voltage thresholds.,attribute,RW,HybridInverter,ACCharge,ACChargeType,,,,,,,Type,Control Type,enum,,,,,,,,"according to time,according to SOC/Volt","By Time Schedule,By SOC/Voltage"
ACCharge.ACChargingPlan,Grid Charge Windows,"During these times, your battery will continue to charge from solar power normally, but will also use additional power from the grid to charge the battery.",attribute,RW,HybridInverter,ACCharge,ACChargingPlan,,,,,,,StartTime1_h,Window 1 Start Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,StartTime1_m,Window 1 Start Minute,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,EndTime1_h,Window 1 End Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,EndTime1_m,Window 1 End Minute,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,StartTime2_h,Window 2 Start Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,StartTime2_m,Window 2 Start Minute,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,EndTime2_h,Window 2 End Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,EndTime2_m,Window 2 End Minute,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,StartTime3_h,Window 3 Start Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,StartTime3_m,Window 3 Start Minute,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,EndTime3_h,Window 3 End Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,EndTime3_m,Window 3 End Minute,Number,,,,0.0,59.0,,,,
GridBase.GridRegulation,Grid Parameters,This setting changes the conditions under which the inverter will connect or disconnect from the utility grid. Different areas have different rules about when this equipment is allowed to disconnect and when it must ride through. Choose the code required by the local utility or AHJ.,attribute,RW,HybridInverter,GridBase,GridRegulation,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735180134,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridBase"",
                ""Element"": ""GridRegulation"",
                ""arguments"": {
                    ""Code"": ""KIUC""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridBase"",
                ""Element"": ""GridRegulation"",
                ""arguments"": {
                    ""Code"": ""KIUC""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735971123,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridBase"",
                ""Element"": ""GridRegulation"",
                ""code"": 0,
                ""Data"": {
                    ""Code"": ""KIUC""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridBase"",
                ""Element"": ""GridRegulation""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Code,Code,enum,,,,,,,,"Default(UL-240-18),California(Rule 21),Hawaii(Rule 14),Puerto Rico LUMA,KIUC","Default UL-1741 / IEEE 1547,California (Rule 21),Hawaii (Rule 14),Puerto Rico (LUMA),KIUC"
GridBase.GridType,Grid Type,Choose wiring configuration of the site.  This helps configure the system to match the power service at the site.  Note the voltage you enter here must match the EPS Voltage.,attribute,RW,HybridInverter,GridBase,GridType,,,,,,,Type,Service Type,enum,,,,,,,,"Split240V/120V,3phase208V/120V,Single240V,Single230V,Split200V/100V","Split 240V / 120V,3-Phase 208V / 120V,Single 240V,Single 230V,Split 200V / 100V"
GridBase.GridFreq,Grid Frequency,Sets the nominal grid frequency for the installation. Use 60 Hz for North America and most split-phase installs; use 50 Hz for regions that operate at 230 V single-phase.,attribute,RW,HybridInverter,GridBase,GridFreq,,,,,,,Freq,Frequency (Hz),enum,,,,,,,,"50,60","50 Hz,60 Hz"
GridProtection.GridVoltLimit1,Grid Voltage Limits (Stage 1),"Voltage trip window. If grid voltage rises above or falls below these thresholds for longer than the threshold time allows, the inverter will disconnect from the grid.",attribute,RW,HybridInverter,GridProtection,GridVoltLimit1,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735971864,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridProtection"",
                ""Element"": ""GridVoltLimit1"",
                ""arguments"": {
                    ""GridVoltLimitHigh"": 70,
                    ""GridVoltLimitLow"": 90
                },
                ""code"": 0,
                ""Data"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridProtection"",
                ""Element"": ""GridVoltLimit1"",
                ""arguments"": {
                    ""GridVoltLimitHigh"": 70,
                    ""GridVoltLimitLow"": 90
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735971758,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridProtection"",
                ""Element"": ""GridVoltLimit1"",
                ""code"": 0,
                ""Data"": {
                    ""GridVoltLimitHigh"": 0,
                    ""GridVoltLimitLow"": 0
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridProtection"",
                ""Element"": ""GridVoltLimit1""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",GridVoltLimitHigh,Upper Limit (Vac),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitLow,Lower Limit (Vac),Number,,,,,,,,,
GridProtection.GridVoltLimit2,Grid Voltage Limits (Stage 2),"Voltage trip window. If grid voltage rises above or falls below these thresholds for longer than the threshold time allows, the inverter will disconnect from the grid.",attribute,RW,HybridInverter,GridProtection,GridVoltLimit2,,,,,,,GridVoltLimitHigh,Upper Limit (Vac),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitLow,Lower Limit (Vac),Number,,,,,,,,,
GridProtection.GridVoltLimit3,Grid Voltage Limits (Stage 3),"Voltage trip window. If grid voltage rises above or falls below these thresholds for longer than the threshold time allows, the inverter will disconnect from the grid.",attribute,RW,HybridInverter,GridProtection,GridVoltLimit3,,,,,,,GridVoltLimitHigh,Upper Limit (Vac),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitLow,Lower Limit (Vac),Number,,,,,,,,,
GridProtection.GridFreqLimit1,Grid Frequency Limits (Stage 1),"Sets the upper and lower grid frequency thresholds. If grid frequency goes outside this range, the inverter will disconnect from the grid to protect the system and comply with grid safety standards.",attribute,RW,HybridInverter,GridProtection,GridFreqLimit1,,,,,,,GridFreqLimitHigh,Upper Limit (Hz),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLow,Lower Limit (Hz),Number,,,,,,,,,
GridProtection.GridFreqLimit2,Grid Frequency Limits (Stage 2),"Sets the upper and lower grid frequency thresholds. If grid frequency goes outside this range, the inverter will disconnect from the grid to protect the system and comply with grid safety standards.",attribute,RW,HybridInverter,GridProtection,GridFreqLimit2,,,,,,,GridFreqLimitHigh,Upper Limit (Hz),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLow,Lower Limit (Hz),Number,,,,,,,,,
GridProtection.GridFreqLimit3,Grid Frequency Limits (Stage 3),"Sets the upper and lower grid frequency thresholds. If grid frequency goes outside this range, the inverter will disconnect from the grid to protect the system and comply with grid safety standards.",attribute,RW,HybridInverter,GridProtection,GridFreqLimit3,,,,,,,GridFreqLimitHigh,Upper Limit (Hz),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLow,Lower Limit (Hz),Number,,,,,,,,,
GridProtection.GridVoltLimit1Time,Grid Voltage Trip Time,Defines how long the grid voltage must remain below the lower limit or above the upper limit (Stage 1) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridVoltLimit1Time,,,,,,,GridVoltLimitLowTime,Low Voltage Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitHighTime,High Voltage Trip Delay (ms),Number,,,,,,,,,
GridProtection.GridVoltLimit2Time,Grid Voltage Trip Time (Stage 2),Defines how long the grid voltage must remain below the lower limit or above the upper limit (Stage 2) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridVoltLimit2Time,,,,,,,GridVoltLimitLowTime,Low Voltage Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitHighTime,High Voltage Trip Delay (ms),Number,,,,,,,,,
GridProtection.GridVoltLimit3Time,Grid Voltage Trip Time (Stage 3),Defines how long the grid voltage must remain below the lower limit or above the upper limit (Stage 3) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridVoltLimit3Time,,,,,,,GridVoltLimitLowTime,Low Voltage Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridVoltLimitHighTime,High Voltage Trip Delay (ms),Number,,,,,,,,,
GridProtection.GridFreqLimit1Time,Grid Frequency Trip Time (Stage 1),Defines how long the grid frequency must remain below the lower limit or above the upper limit (Stage 1) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridFreqLimit1Time,,,,,,,GridFreqLimitHighTime,High Frequency Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLowTime,Low Frequency Trip Delay (ms),Number,,,,,,,,,
GridProtection.GridFreqLimit2Time,Grid Frequency Trip Time (Stage 2),Defines how long the grid frequency must remain below the lower limit or above the upper limit (Stage 2) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridFreqLimit2Time,,,,,,,GridFreqLimitHighTime,High Frequency Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLowTime,Low Frequency Trip Delay (ms),Number,,,,,,,,,
GridProtection.GridFreqLimit3Time,Grid Frequency Trip Time (Stage 3),Defines how long the grid frequency must remain below the lower limit or above the upper limit (Stage 3) before the inverter disconnects from the grid.,attribute,RW,HybridInverter,GridProtection,GridFreqLimit3Time,,,,,,,GridFreqLimitHighTime,High Frequency Trip Delay (ms),Number,,,,,,,,,
,,,,,,,,,,,,,,GridFreqLimitLowTime,Low Frequency Trip Delay (ms),Number,,,,,,,,,
GridConnection.PermitServiceStatus,Permit to Operate,Shows whether the inverter is permitted to operate in grid-connected mode.,attribute,R,HybridInverter,GridConnection,PermitServiceStatus,,,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735972517,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridConnection"",
                ""Element"": ""PermitServiceStatus"",
                ""code"": 0,
                ""Data"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""GridConnection"",
                ""Element"": ""PermitServiceStatus""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode,Permit Status,enum,,,,,,,,"Disable,Enable","Not Permitted,Permitted"
GridConnection.RampRate,Ramp Rate,How quickly inverter output is allowed to increase.,attribute,R,HybridInverter,GridConnection,RampRate,,,,,,,Rate,Ramp Rate (%/sec),Number,,,,,,,,,
GridConnection.ApplicableVoltage,Applicable Grid Voltage Range,Voltage window within which grid connection is permitted. Outside this range the inverter will not connect or will disconnect.,attribute,R,HybridInverter,GridConnection,ApplicableVoltage,,,,,,,ApplicableVoltageLow,Lower Limit (Vac),Number,,,,,,,,,
,,,,,,,,,,,,,,ApplicableVoltageHigh,Upper Limit (Vac),Number,,,,,,,,,
GridConnection.ApplicableFrequency,Applicable Grid Frequency Range,Frequency window within which grid connection is permitted. Outside this range the inverter will not connect or will disconnect.,attribute,R,HybridInverter,GridConnection,ApplicableFrequency,,,,,,,ApplicableFrequencyLow,Lower Limit (Hz),Number,,,,,,,,,
,,,,,,,,,,,,,,ApplicableFrequencyHigh,Upper Limit (Hz),Number,,,,,,,,,
GridConnection.DelayTime,Connection Delay Times,Delays applied before initial grid connection and after a grid disturbance clears (reconnection). These timers help meet interconnection standards.  The connection delay is how long the inverter will wait after first being powered on.  Reconnection delay is how long the inverter will wait after a grid disturbance or outage clears.,attribute,R,HybridInverter,GridConnection,DelayTime,,,,,,,ConnectionDelayTime,Connection Delay (s),Number,,,,,,,,,
,,,,,,,,,,,,,,ReconnectionDelayTime,Reconnection Delay (s),Number,,,,,,,,,
ConstantPowerFactorMode.ConstantPowerFactorModeStatus,Power Factor Mode,Shows whether constant power-factor control is active.,attribute,R,HybridInverter,ConstantPowerFactorMode,ConstantPowerFactorModeStatus,,,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735975299,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""ConstantPowerFactorMode"",
                ""Element"": ""ConstantPowerFactorModeStatus"",
                ""code"": 0,
                ""Data"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""ConstantPowerFactorMode"",
                ""Element"": ""ConstantPowerFactorModeStatus""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode,Status,enum,,,,,,,,"Disable,Enable","Inactive — No PF control,Active — Constant PF"
ConstantPowerFactorMode.ConstantPowerFactor,Power Factor Setpoint,The target power factor and excitation. Under-excited = lagging (absorbing vars); Over-excited = leading (supplying vars).,attribute,R,HybridInverter,ConstantPowerFactorMode,ConstantPowerFactor,,,,,,,Excited,Excitation,enum,,,,,,,,"Under-excited,Over-excited","Under-excited,Over-excited"
,,,,,,,,,,,,,,PowerFactor,Power Factor (PF),Number,,,,,,,,,
ConstantReactivePowerMode.ConstantReactivePowerModeStatus,Reactive Power Mode,Shows whether constant reactive-power control is active.,attribute,R,HybridInverter,ConstantReactivePowerMode,ConstantReactivePowerModeStatus,,,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1736135194,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""ConstantReactivePowerMode"",
                ""Element"": ""ConstantReactivePowerModeStatus"",
                ""code"": 0,
                ""Data"": {
                    ""Excited"": ""Over-excited"",
                    ""Status"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""ConstantReactivePowerMode"",
                ""Element"": ""ConstantReactivePowerModeStatus""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Excited,Excitation,enum,,,,,,,,"Under-excited,Over-excited","Under-excited,Over-excited"
,,,,,,,,,,,,,,Status,Status,enum,,,,,,,,"Disable,Enable","Inactive - no reactive power control,Active - reactive power control"
ConstantReactivePowerMode.ReactivePowerPercentCMD,Reactive Power Setpoint,Displays the reactive-power target as a percentage of rated power (vars). Excitation determines whether vars are supplied (leading) or absorbed (lagging).,attribute,R,HybridInverter,ConstantReactivePowerMode,ReactivePowerPercentCMD,,,,,,,Power,Reactive Power (%),Number,,,,,,,,,
VoltageReactivePowerMode.VoltageReactivePowerMode,Volt-VAR Mode,Shows whether Volt-VAR (voltage-reactive power) control is active. This value is read-only and reflects the current configuration or utility command.,attribute,R,HybridInverter,VoltageReactivePowerMode,VoltageReactivePowerMode,,,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1736135261,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""VoltageReactivePowerMode"",
                ""Element"": ""VoltageReactivePowerMode"",
                ""code"": 0,
                ""Data"": {
                    ""Mode"": ""Enable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""VoltageReactivePowerMode"",
                ""Element"": ""VoltageReactivePowerMode""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
